Year,Egg mass,Lower,Upper
1971,1280.3,1205.1,1355.4
1972,1403.6,1315.1,1492.2
1973,1464.9,1386.7,1543.1
1974,1238,1148.5,1327.5
1975,1059.2,989,1129.5
1976,1247.1,1176.6,1317.7
1977,1371.1,1307.4,1434.7
1978,1492.2,1423.8,1560.5
1979,1312.9,1237.7,1388
1980,1068.7,1012.1,1125.3
1981,1246,1191.9,1300
1982,1268.1,1219.3,1316.9
1983,1403.6,1338.8,1468.5
1984,1199.1,1148.3,1249.8
1985,1235,1186,1284
1986,1145.4,1099.4,1191.5
1987,1266.7,1219.5,1313.9
1988,1390.9,1342.8,1439.1
1989,1224,1176.5,1271.4
1990,1251,1202,1300
1991,1072.6,1019.7,1125.5
1992,1216.6,1164.5,1268.6
1993,1146.4,1095.1,1197.7
1994,1152.1,1099.9,1204.3
1995,1240,1188.7,1291.2
1996,1092.3,1037.5,1147.1
1997,1190.3,1137.3,1243.4
1998,940.6,886.3,994.9
1999,1127.4,1075.2,1179.6
2000,972.6,921.8,1023.4
2001,1142.8,1092.4,1193.2
2002,1187.5,1138.7,1236.2
2003,1216.5,1168.8,1264.3
2004,1215.4,1160,1270.8
2005,998.8,951.6,1046.1
2006,970.3,922.3,1018.3
2007,980.7,933.4,1028
2008,979.8,932,1027.6
2009,1099.4,1044.3,1154.5
2010,947.4,900.5,994.3
2011,1095.6,1047.7,1143.5
2012,1004.3,956,1052.6
2013,1030.8,978.4,1083.3
2014,914.6,858.2,970.9
2015,962.9,906.7,1019
2016,845,793.4,896.6
2017,904.2,854.1,954.2