"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-02"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation"
"Canada 2","Country","36,991,981","35,151,728","5.2","16,284,235","15,412,443","5.7","14,978,941","14,072,079","6.4","8,788,702.80","4.2","...","..."
"British Columbia 2","PR","5,000,879","4,648,055","7.6","2,211,694","2,063,417","7.2","2,041,834","1,881,969","8.5","920,686.55","5.4","...","..."
"Ahahswinis 1","IRI","150","119","26.1","62","61","1.6","59","54","9.3","0.41","368.0","4,055","431"
"Alberni 2","IRI","0","10","-100.0","0","3","-100.0","0","3","-100.0","0.55","0.0","4,831","644"
"Alberni-Clayoquot A","RDA","256","243","5.3","404","444","-9.0","136","132","3.0","1,619.77","0.2","3,656","380"
"Alberni-Clayoquot B","RDA","531","443","19.9","229","220","4.1","210","199","5.5","92.22","5.8","2,866","317"
"Alberni-Clayoquot C","RDA","875","677","29.2","680","359","89.4","314","267","17.6","3,199.27","0.3","2,273","281"
"Alberni-Clayoquot D","RDA","1,843","1,616","14.0","1,251","1,131","10.6","871","774","12.5","1,398.89","1.3","1,447","212"
"Alberni-Clayoquot E","RDA","2,946","2,754","7.0","1,330","1,257","5.8","1,263","1,189","6.2","21.91","134.4","1,060","163"
"Alberni-Clayoquot F","RDA","1,977","1,935","2.2","902","863","4.5","855","841","1.7","186.53","10.6","1,392","205"
"Anacla 12","IRI","104","82","26.8","52","44","18.2","44","35","25.7","0.93","112.1","4,233","456"
"Clakamucus 2","IRI","0","0","...","1","1","0.0","1","1","0.0","0.10","0.0","4,831","644"
"Elhlateese 2","IRI","10","5","100.0","13","12","8.3","4","1","300.0","2.30","4.4","4,722","592"
"Esowista 3","IRI","90","94","-4.3","35","37","-5.4","30","29","3.4","0.10","936.5","4,302","473"
"Hesquiat 1 3","IRI","..","5","..","..","3","..","..","3","..","1.55","..","..",".."
"Ittatsoo 1","IRI","321","274","17.2","110","96","14.6","102","86","18.6","0.68","474.8","3,440","364"
"Klehkoot 2","IRI","15","15","0.0","7","6","16.7","7","6","16.7","1.17","12.8","4,694","580"
"Macoah 1","IRI","27","19","42.1","21","11","90.9","17","9","88.9","0.43","62.5","4,615","556"
"Marktosis 15","IRI","760","622","22.2","202","200","1.0","181","162","11.7","1.80","423.0","2,427","293"
"Numukamis 1","IRI","0","5","-100.0","2","3","-33.3","1","3","-66.7","6.69","0.0","4,831","644"
"Opitsat 1","IRI","153","150","2.0","50","53","-5.7","40","46","-13.0","0.72","212.4","4,044","430"
"Port Alberni","CY","18,259","17,678","3.3","8,919","8,567","4.1","8,451","8,119","4.1","19.66","928.9","250","40"
"Refuge Cove 6 3","IRI","..","44","..","..","40","..","..","27","..","0.17","..","..",".."
"Sachsa 4","IRI","0","0","...","1","2","-50.0","1","0","...","0.07","0.0","4,831","644"
"Tin Wis 11","IRI","26","0","...","20","0","...","15","0","...","0.14","188.0","4,622","558"
"Tofino 4","DM","2,516","1,967","27.9","1,205","1,078","11.8","945","776","21.8","10.56","238.3","1,187","175"
"Tsahaheh 1","IRI","596","542","10.0","211","199","6.0","208","176","18.2","4.01","148.6","2,722","308"
"Ucluelet","DM","2,066","1,717","20.3","997","841","18.5","860","737","16.7","6.48","318.8","1,353","200"
"Babine 16 5","IRI","0","5","-100.0","0","2","-100.0","0","2","-100.0","2.80","0.0","4,831","644"
"Babine 25","IRI","83","112","-25.9","37","48","-22.9","26","32","-18.8","0.48","171.3","4,334","482"
"Babine 6 5","IRI","75","81","-7.4","32","45","-28.9","32","31","3.2","1.82","41.2","4,375","494"
"Babine Lake 21B","IRI","0","0","...","0","0","...","0","0","...","0.02","0.0","4,831","644"
"Binche 2","IRI","118","182","-35.2","54","81","-33.3","46","62","-25.8","4.63","25.5","4,181","446"
"Bulkley-Nechako A","RDA","5,587","5,256","6.3","2,269","2,213","2.5","2,140","2,021","5.9","3,674.43","1.5","685","89"
"Bulkley-Nechako B 5","RDA","1,706","1,885","-9.5","797","880","-9.4","710","763","-6.9","3,624.72","0.5","1,538","222"
"Bulkley-Nechako C 5","RDA","1,266","1,420","-10.8","656","740","-11.4","578","612","-5.6","25,527.99","0.0","1,836","257"
"Bulkley-Nechako D","RDA","1,607","1,472","9.2","982","854","15.0","699","663","5.4","4,389.75","0.4","1,592","235"
"Bulkley-Nechako E","RDA","1,512","1,593","-5.1","818","840","-2.6","619","621","-0.3","15,856.11","0.1","1,659","241"
"Bulkley-Nechako F","RDA","3,517","3,665","-4.0","1,790","1,902","-5.9","1,334","1,379","-3.3","5,386.26","0.7","936","143"
"Bulkley-Nechako G","RDA","836","903","-7.4","504","450","12.0","367","367","0.0","14,417.38","0.1","2,323","286"
"Burns Lake","VL","1,659","1,779","-6.7","765","748","2.3","689","684","0.7","6.54","253.7","1,561","227"
"Burns Lake 18","IRI","33","48","-31.3","14","21","-33.3","14","18","-22.2","0.56","59.4","4,586","546"
"Cheslatta 1","IRI","49","84","-41.7","44","53","-17.0","29","31","-6.5","10.81","4.5","4,516","526"
"Duncan Lake 2","IRI","5","5","0.0","4","6","-33.3","2","4","-50.0","0.67","7.5","4,760","610"
"Dzitline Lee 9","IRI","15","10","50.0","9","11","-18.2","6","4","50.0","5.44","2.8","4,694","580"
"Fort St. James","DM","1,386","1,598","-13.3","671","761","-11.8","586","644","-9.0","23.45","59.1","1,752","253"
"Francois Lake 7 3","IRI","..","10","..","..","6","..","..","3","..","1.38","..","..",".."
"Fraser Lake","VL","965","988","-2.3","543","551","-1.5","444","448","-0.9","4.06","237.4","2,154","278"
"Granisle","VL","337","303","11.2","262","284","-7.7","194","176","10.2","39.85","8.5","3,396","356"
"Houston","DM","3,052","2,993","2.0","1,461","1,402","4.2","1,271","1,242","2.3","72.88","41.9","1,031","157"
"Jean Baptiste 28","IRI","5","0","...","4","5","-20.0","3","1","200.0","1.42","3.5","4,760","610"
"Laketown 3","IRI","16","18","-11.1","7","9","-22.2","7","4","75.0","2.44","6.6","4,686","578"
"Mission Lands 17","IRI","0","0","...","1","0","...","1","0","...","0.48","0.0","4,831","644"
"Nak'azdli","IRI","528","548","-3.6","209","200","4.5","204","188","8.5","3.09","170.9","2,875","318"
"Nautley (Fort Fraser) 1","IRI","227","192","18.2","106","100","6.0","84","68","23.5","5.07","44.8","3,761","398"
"Nedoats 11","IRI","0","0","...","0","0","...","0","0","...","4.00","0.0","4,831","644"
"Noonla 6 5","IRI","0","5","-100.0","1","1","0.0","1","1","0.0","0.75","0.0","4,831","644"
"North Tacla Lake 5","IRI","243","187","29.9","93","90","3.3","86","63","36.5","0.98","248.0","3,711","389"
"Omineca 1 3","IRI","..","5","..","..","1","..","..","1","..","0.57","..","..",".."
"Palling 1 5","IRI","92","63","46.0","32","20","60.0","27","16","68.8","0.73","125.3","4,295","470"
"Poison Creek 17A","IRI","10","5","100.0","4","5","-20.0","4","2","100.0","0.22","45.6","4,722","592"
"Seaspunkut 4","IRI","10","15","-33.3","7","8","-12.5","6","7","-14.3","2.39","4.2","4,722","592"
"Skins Lake 16A","IRI","10","5","100.0","1","6","-83.3","1","3","-66.7","0.67","14.9","4,722","592"
"Skins Lake 16B","IRI","0","23","-100.0","0","7","-100.0","0","6","-100.0","0.63","0.0","4,831","644"
"Smithers","T","5,378","5,401","-0.4","2,411","2,389","0.9","2,313","2,291","1.0","15.26","352.4","699","93"
"Sowchea 3","IRI","5","0","...","3","1","200.0","3","1","200.0","1.00","5.0","4,760","610"
"Stellaquo (Stella) 1","IRI","189","202","-6.4","77","73","5.5","75","65","15.4","8.31","22.7","3,892","413"
"Stony Creek 1","IRI","323","313","3.2","154","131","17.6","144","112","28.6","26.37","12.2","3,436","362"
"Tache 1","IRI","400","401","-0.2","132","114","15.8","122","104","17.3","8.98","44.5","3,178","343"
"Tacla Lake (Ferry Landing) 9","IRI","15","0","...","4","0","...","4","0","...","0.72","20.7","4,694","580"
"Tadinlay 15","IRI","0","0","...","0","0","...","0","0","...","1.82","0.0","4,831","644"
"Tatla West 11","IRI","0","0","...","0","1","-100.0","0","1","-100.0","0.45","0.0","4,831","644"
"Tatla't East 2","IRI","0","5","-100.0","1","1","0.0","1","1","0.0","0.70","0.0","4,831","644"
"Telkwa","VL","1,474","1,327","11.1","584","539","8.3","562","495","13.5","7.04","209.5","1,682","244"
"Uncha Lake 13A 3","IRI","..","10","..","..","7","..","..","4","..","0.38","..","..",".."
"Vanderhoof 5","DM","4,346","4,434","-2.0","1,885","1,830","3.0","1,786","1,751","2.0","53.93","80.6","807","115"
"Williams Prairie Meadow 1A","IRI","20","15","33.3","7","8","-12.5","6","6","0.0","0.68","29.5","4,658","569"
"Woyenne 27","IRI","548","243","125.5","139","78","78.2","137","75","82.7","0.15","3,753.4","2,817","315"
"Ye Koo Che 3","IRI","90","87","3.4","44","42","4.8","36","28","28.6","1.99","45.1","4,302","473"
"Becher Bay 1","IRI","221","129","71.3","88","54","63.0","80","43","86.0","2.64","83.9","3,783","400"
"Central Saanich","DM","17,385","16,814","3.4","7,621","7,121","7.0","7,105","6,893","3.1","41.20","421.9","264","43"
"Cole Bay 3","IRI","266","332","-19.9","90","97","-7.2","86","90","-4.4","2.82","94.4","3,624","378"
"Colwood","CY","18,961","16,859","12.5","7,688","6,867","12.0","7,428","6,588","12.8","17.66","1,073.6","242","38"
"East Saanich 2","IRI","1,790","1,689","6.0","1,008","796","26.6","943","768","22.8","2.60","687.5","1,487","217"
"Esquimalt","DM","17,533","17,655","-0.7","8,995","8,742","2.9","8,565","8,493","0.8","7.08","2,476.7","263","42"
"Esquimalt","IRI","120","..","..","41","..","..","39","..","..","0.22","554.3","4,170","444"
"Galiano Island 9","IRI","0","0","...","0","2","-100.0","0","1","-100.0","0.24","0.0","4,831","644"
"Gordon River 2","IRI","79","111","-28.8","26","33","-21.2","23","30","-23.3","0.95","83.1","4,359","490"
"Highlands","DM","2,482","2,225","11.6","927","862","7.5","906","831","9.0","38.01","65.3","1,201","176"
"Juan de Fuca (Part 1) 5","RDA","5,132","4,670","9.9","2,459","2,337","5.2","2,202","1,992","10.5","221.48","23.2","718","97"
"Juan de Fuca (Part 2) 5","RDA","399","190","110.0","479","152","215.1","207","89","132.6","1,267.72","0.3","3,181","344"
"Langford","CY","46,584","35,342","31.8","19,968","14,906","34.0","19,050","14,178","34.4","41.43","1,124.4","113","21"
"Metchosin","DM","5,067","4,708","7.6","1,938","1,932","0.3","1,856","1,818","2.1","69.57","72.8","724","99"
"New Songhees 1A","IRI","1,839","1,842","-0.2","991","917","8.1","936","891","5.1","0.71","2,590.1","1,452","213"
"North Saanich","DM","12,235","11,249","8.8","5,235","4,936","6.1","5,010","4,626","8.3","37.16","329.2","353","53"
"Oak Bay","DM","17,990","18,094","-0.6","8,168","8,122","0.6","7,807","7,737","0.9","10.52","1,710.1","255","41"
"Saanich","DM","117,735","114,148","3.1","50,064","49,422","1.3","48,048","46,652","3.0","103.59","1,136.6","49","9"
"Saltspring Island","RDA","11,635","10,557","10.2","6,105","5,871","4.0","5,120","4,842","5.7","182.94","63.6","371","56"
"Sidney","T","12,318","11,672","5.5","6,321","5,960","6.1","5,981","5,603","6.7","5.11","2,412.8","350","51"
"Sooke","DM","15,086","13,001","16.0","6,431","5,599","14.9","6,129","5,253","16.7","56.60","266.6","288","45"
"South Saanich 1","IRI","712","822","-13.4","251","248","1.2","237","227","4.4","2.09","340.9","2,496","297"
"Southern Gulf Islands","RDA","6,101","4,732","28.9","5,151","4,945","4.2","3,180","2,479","28.3","191.08","31.9","641","86"
"T'Sou-ke","IRI","230","225","2.2","97","90","7.8","91","84","8.3","0.75","307.8","3,747","394"
"Union Bay 4","IRI","109","94","16.0","48","40","20.0","40","33","21.2","0.29","376.6","4,222","452"
"Victoria","CY","91,867","85,792","7.1","53,070","49,212","7.8","49,222","45,762","7.6","19.45","4,722.3","66","14"
"View Royal","T","11,575","10,408","11.2","5,175","4,299","20.4","4,915","4,154","18.3","14.33","807.6","374","57"
"Agats Meadow 8","IRI","0","0","...","0","1","-100.0","0","0","...","1.20","0.0","4,831","644"
"Alexandria 3 5","IRI","..","40","..","..","13","..","..","13","..","9.31","..","..",".."
"Alexis Creek 14","IRI","5","0","...","1","1","0.0","1","0","...","1.64","3.0","4,760","610"
"Alexis Creek 16","IRI","0","0","...","0","0","...","0","0","...","0.38","0.0","4,831","644"
"Alexis Creek 21","IRI","0","0","...","0","2","-100.0","0","0","...","3.61","0.0","4,831","644"
"Alexis Creek 34","IRI","0","0","...","0","2","-100.0","0","0","...","1.32","0.0","4,831","644"
"Alkali Lake 1","IRI","358","328","9.1","114","122","-6.6","112","113","-0.9","2.59","138.3","3,320","353"
"Alkali Lake 4A","IRI","5","10","-50.0","2","3","-33.3","2","3","-33.3","1.29","3.9","4,760","610"
"Anahim's Flat 1","IRI","437","342","27.8","133","129","3.1","132","112","17.9","38.59","11.3","3,087","338"
"Anahim's Meadow","IRI","10","10","0.0","4","7","-42.9","4","4","0.0","4.19","2.4","4,722","592"
"Baezaeko River 27","IRI","0","0","...","0","3","-100.0","0","0","...","0.22","0.0","4,831","644"
"Baptiste Meadow 2","IRI","0","5","-100.0","1","2","-50.0","1","2","-50.0","2.06","0.0","4,831","644"
"Betty Creek 18","IRI","0","0","...","0","0","...","0","0","...","1.29","0.0","4,831","644"
"Canim Lake 1 3","IRI","..","228","..","..","78","..","..","77","..","17.30","..","..",".."
"Canim Lake 2 3","IRI","..","5","..","..","4","..","..","4","..","0.56","..","..",".."
"Canim Lake 4","IRI","0","0","...","0","1","-100.0","0","0","...","0.13","0.0","4,831","644"
"Canoe Creek 3","IRI","0","0","...","0","0","...","0","0","...","28.03","0.0","4,831","644"
"Cariboo A 5","RDA","6,169","6,234","-1.0","2,719","2,712","0.3","2,604","2,609","-0.2","778.12","7.9","633","85"
"Cariboo B","RDA","3,864","3,842","0.6","1,781","1,754","1.5","1,629","1,634","-0.3","1,413.47","2.7","883","137"
"Cariboo C","RDA","1,239","1,225","1.1","652","635","2.7","552","557","-0.9","7,377.49","0.2","1,858","262"
"Cariboo D","RDA","2,870","2,929","-2.0","1,408","1,350","4.3","1,223","1,233","-0.8","849.54","3.4","1,082","168"
"Cariboo E","RDA","4,112","4,064","1.2","1,867","1,821","2.5","1,723","1,693","1.8","1,745.18","2.4","842","124"
"Cariboo F","RDA","4,792","4,554","5.2","2,491","2,371","5.1","2,034","1,943","4.7","9,740.20","0.5","760","106"
"Cariboo G 5","RDA","5,312","5,156","3.0","2,948","2,856","3.2","2,399","2,308","3.9","2,646.03","2.0","703","95"
"Cariboo H","RDA","1,884","1,784","5.6","1,386","1,438","-3.6","882","822","7.3","2,593.68","0.7","1,426","209"
"Cariboo I 5","RDA","1,485","1,435","3.5","763","691","10.4","659","635","3.8","11,915.99","0.1","1,673","242"
"Cariboo J","RDA","616","642","-4.0","514","433","18.7","306","303","1.0","25,880.08","0.0","2,683","306"
"Cariboo K","RDA","447","398","12.3","252","248","1.6","205","155","32.3","13,629.59","0.0","3,053","335"
"Cariboo L","RDA","4,769","4,204","13.4","3,746","3,482","7.6","2,286","1,961","16.6","1,263.69","3.8","762","107"
"Charley Boy's Meadow 3","IRI","0","0","...","0","6","-100.0","0","0","...","4.68","0.0","4,831","644"
"Chilco Lake 1 3","IRI","..","5","..","..","4","..","..","2","..","1.00","..","..",".."
"Chilco Lake 1A 3","IRI","..","25","..","..","13","..","..","9","..","6.79","..","..",".."
"Coglistiko River 29","IRI","0","0","...","1","0","...","0","0","...","0.62","0.0","4,831","644"
"Deep Creek 2","IRI","111","91","22.0","47","47","0.0","42","41","2.4","15.67","7.1","4,208","449"
"Dog Creek 1","IRI","88","79","11.4","42","35","20.0","41","31","32.3","1.36","64.6","4,314","476"
"Dog Creek 2","IRI","17","20","-15.0","5","11","-54.5","5","11","-54.5","2.19","7.7","4,683","576"
"Dragon Lake 3 5","IRI","15","26","-42.3","5","8","-37.5","5","8","-37.5","0.16","94.0","4,694","580"
"Euchinico Creek 17","IRI","5","0","...","1","0","...","1","0","...","3.87","1.3","4,760","610"
"Fishtrap 19","IRI","10","15","-33.3","13","13","0.0","9","9","0.0","0.28","36.1","4,722","592"
"Garden 3","IRI","..","5","..","..","3","..","..","3","..","2.04","..","..",".."
"Johny Sticks 2","IRI","10","10","0.0","5","5","0.0","5","5","0.0","3.07","3.3","4,722","592"
"Kluskus 1","IRI","38","36","5.6","14","16","-12.5","11","9","22.2","4.40","8.6","4,566","540"
"Lezbye 6 3","IRI","..","20","..","..","7","..","..","5","..","0.89","..","..",".."
"Little Springs","IRI","20","15","33.3","11","7","57.1","11","6","83.3","4.71","4.2","4,658","569"
"Lohbiee 3 3","IRI","..","91","..","..","40","..","..","38","..","2.28","..","..",".."
"Michel Gardens 36","IRI","5","5","0.0","5","5","0.0","3","5","-40.0","0.04","120.8","4,760","610"
"Nazco 20","IRI","81","90","-10.0","39","34","14.7","34","30","13.3","4.66","17.4","4,344","487"
"One Hundred Mile House 4","DM","1,928","1,918","0.5","974","936","4.1","907","863","5.1","53.01","36.4","1,414","207"
"Puntzi Lake 2","IRI","5","0","...","2","2","0.0","2","1","100.0","0.23","21.6","4,760","610"
"Quesnel","CY","9,889","9,879","0.1","4,766","4,706","1.3","4,508","4,395","2.6","35.35","279.8","434","62"
"Quesnel 1 5","IRI","110","107","2.8","45","33","36.4","39","32","21.9","5.45","20.2","4,214","451"
"Redstone Flat 1","IRI","181","196","-7.7","64","64","0.0","57","62","-8.1","3.45","52.5","3,925","417"
"Salmon River Meadow 7","IRI","0","0","...","0","1","-100.0","0","1","-100.0","0.93","0.0","4,831","644"
"Sandy Harry 4","IRI","0","5","-100.0","1","2","-50.0","1","1","0.0","1.68","0.0","4,831","644"
"Soda Creek 1","IRI","30","59","-49.2","13","15","-13.3","12","15","-20.0","4.03","7.4","4,592","550"
"Squinas 2","IRI","137","134","2.2","56","65","-13.8","50","50","0.0","4.16","33.0","4,111","441"
"Stone 1","IRI","219","187","17.1","53","51","3.9","52","50","4.0","15.48","14.2","3,791","402"
"Sundayman's Meadow 3","IRI","0","0","...","0","0","...","0","0","...","0.49","0.0","4,831","644"
"Swan Lake 3","IRI","0","5","-100.0","0","3","-100.0","0","3","-100.0","0.96","0.0","4,831","644"
"Tanakut 4 3","IRI","..","15","..","..","7","..","..","5","..","2.10","..","..",".."
"Thomas Squinas Ranch 2A","IRI","5","0","...","2","3","-33.3","2","2","0.0","2.56","2.0","4,760","610"
"Toosey 1","IRI","104","107","-2.8","42","42","0.0","42","40","5.0","22.43","4.6","4,233","456"
"Towdystan Lake 3","IRI","15","10","50.0","5","5","0.0","5","3","66.7","2.64","5.7","4,694","580"
"Trout Lake Alec 16","IRI","0","15","-100.0","1","5","-80.0","1","4","-75.0","0.94","0.0","4,831","644"
"Ulkatcho 13","IRI","0","0","...","0","0","...","0","0","...","2.01","0.0","4,831","644"
"Ulkatcho 14A","IRI","116","155","-25.2","72","77","-6.5","67","55","21.8","2.64","44.0","4,192","447"
"Wells","DM","218","217","0.5","156","158","-1.3","113","112","0.9","158.09","1.4","3,799","403"
"Williams Lake","CY","10,947","10,753","1.8","5,066","5,005","1.2","4,736","4,506","5.1","33.12","330.5","399","60"
"Williams Lake 1","IRI","248","191","29.8","105","84","25.0","97","76","27.6","16.55","15.0","3,687","383"
"Windy Mouth 7 5","IRI","5","5","0.0","2","3","-33.3","2","2","0.0","0.03","148.4","4,760","610"
"Bella Bella 1","IRI","1,193","1,019","17.1","457","409","11.7","393","333","18.0","5.83","204.5","1,906","263"
"Bella Coola 1","IRI","937","807","16.1","312","295","5.8","287","243","18.1","15.22","61.6","2,197","280"
"Central Coast A","RDA","149","203","-26.6","190","156","21.8","89","120","-25.8","19,779.25","0.0","4,060","433"
"Central Coast C","RDA","661","653","1.2","372","356","4.5","318","310","2.6","3,963.65","0.2","2,601","303"
"Central Coast D","RDA","403","399","1.0","208","186","11.8","189","175","8.0","304.21","1.3","3,169","342"
"Central Coast E","RDA","162","148","9.5","85","83","2.4","67","68","-1.5","359.53","0.5","4,003","424"
"Katit 1","IRI","77","90","-14.4","47","46","2.2","38","35","8.6","6.04","12.7","4,367","491"
"Castlegar","CY","8,338","8,039","3.7","3,702","3,655","1.3","3,549","3,499","1.4","19.87","419.6","495","69"
"Central Kootenay A","RDA","2,241","1,930","16.1","1,641","1,596","2.8","1,075","967","11.2","1,689.12","1.3","1,284","193"
"Central Kootenay B","RDA","4,802","4,657","3.1","2,162","2,090","3.4","1,977","1,922","2.9","1,615.10","3.0","756","104"
"Central Kootenay C 5","RDA","1,475","1,472","0.2","696","689","1.0","635","651","-2.5","740.25","2.0","1,680","243"
"Central Kootenay D","RDA","1,462","1,343","8.9","1,029","1,072","-4.0","715","653","9.5","5,781.11","0.3","1,689","245"
"Central Kootenay E","RDA","3,897","3,772","3.3","2,150","2,177","-1.2","1,798","1,736","3.6","807.99","4.8","878","135"
"Central Kootenay F","RDA","4,116","3,963","3.9","1,962","1,925","1.9","1,761","1,707","3.2","404.38","10.2","841","123"
"Central Kootenay G","RDA","1,650","1,623","1.7","832","818","1.7","743","747","-0.5","1,509.14","1.1","1,567","229"
"Central Kootenay H 4","RDA","5,045","4,655","8.4","2,669","2,441","9.3","2,280","2,122","7.4","3,288.20","1.5","732","102"
"Central Kootenay I","RDA","2,607","2,534","2.9","1,194","1,177","1.4","1,129","1,107","2.0","109.48","23.8","1,153","173"
"Central Kootenay J","RDA","3,517","3,137","12.1","1,628","1,546","5.3","1,458","1,345","8.4","1,693.07","2.1","936","143"
"Central Kootenay K","RDA","1,784","1,681","6.1","1,100","1,092","0.7","867","831","4.3","4,377.01","0.4","1,489","218"
"Creston 5","T","5,583","5,361","4.1","2,810","2,747","2.3","2,670","2,593","3.0","8.41","664.2","687","90"
"Creston 1","IRI","93","112","-17.0","42","48","-12.5","37","41","-9.8","7.55","12.3","4,292","468"
"Kaslo","VL","1,049","968","8.4","583","555","5.0","526","469","12.2","3.01","348.7","2,054","273"
"Nakusp","VL","1,589","1,605","-1.0","831","807","3.0","760","761","-0.1","8.04","197.7","1,604","236"
"Nelson","CY","11,106","10,572","5.1","5,314","5,061","5.0","4,948","4,822","2.6","11.93","930.6","390","59"
"New Denver","VL","487","473","3.0","304","320","-5.0","248","243","2.1","0.87","559.6","2,975","327"
"Salmo","VL","1,140","1,141","-0.1","599","572","4.7","568","547","3.8","2.44","466.4","1,959","266"
