"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1"
"Stawamus 24","IRI","98","107","-8.4","31","29","6.9","30","27","11.1","0.26","381.6","4,264","462"
"Towinock 2","IRI","16","5","220.0","6","3","100.0","6","3","100.0","0.88","18.2","4,686","578"
"Waiwakum 14 5","IRI","224","175","28.0","58","51","13.7","52","49","6.1","0.17","1,303.8","3,773","399"
"Whistler 4","DM","13,982","11,746","19.0","10,065","9,386","7.2","5,597","4,454","25.7","240.00","58.3","310","47"
"Yekwaupsum 18","IRI","17","28","-39.3","13","12","8.3","11","10","10.0","0.02","696.7","4,683","576"
"Dease River 1 5","IRI","39","52","-25.0","37","30","23.3","24","24","0.0","1.48","26.3","4,561","539"
"Five Mile Point 3","IRI","83","114","-27.2","50","51","-2.0","48","49","-2.0","7.86","10.6","4,334","482"
"Good Hope Lake","S-É","0","0","...","0","0","...","0","0","...","0.47","0.0","4,831","644"
"Liard River 3 5","IRI","114","66","72.7","68","36","88.9","60","31","93.5","2.88","39.5","4,201","448"
"Lower Post 5","S-É","5","25","-80.0","9","10","-10.0","4","10","-60.0","0.15","33.2","4,760","610"
"Stikine Region 5","RDA","424","455","-6.8","491","474","3.6","240","239","0.4","118,395.89","0.0","3,109","339"
"Unnamed 10","IRI","18","28","-35.7","12","16","-25.0","10","14","-28.6","0.03","676.7","4,680","575"
"Ahaminaquus 12","IRI","0","0","...","0","0","...","0","0","...","0.18","0.0","4,831","644"
"Campbell River 5","CY","35,519","33,007","7.6","16,194","14,981","8.1","15,557","14,371","8.3","144.38","246.0","136","27"
"Campbell River 11","IRI","506","381","32.8","186","154","20.8","168","138","21.7","1.02","498.2","2,929","323"
"Cape Mudge 10","IRI","145","147","-1.4","66","68","-2.9","60","57","5.3","4.94","29.3","4,077","437"
"Chenahkint 12","IRI","0","0","...","0","0","...","0","0","...","0.24","0.0","4,831","644"
"Ehatis 11","IRI","91","88","3.4","19","21","-9.5","19","21","-9.5","0.23","393.8","4,299","471"
"Gold River","VL","1,246","1,212","2.8","692","789","-12.3","610","573","6.5","10.92","114.2","1,852","260"
"Homalco 9","IRI","214","202","5.9","84","78","7.7","80","74","8.1","0.78","275.5","3,815","406"
"Houpsitas 6","IRI","157","181","-13.3","62","53","17.0","49","51","-3.9","0.14","1,159.5","4,023","427"
"Nenagwas 12 5","IRI","0","0","...","0","0","...","0","0","...","2.40","0.0","4,831","644"
"Oclucje 7","IRI","29","30","-3.3","11","11","0.0","7","8","-12.5","0.12","234.6","4,610","554"
"Quinsam 12","IRI","312","294","6.1","116","107","8.4","113","100","13.0","1.41","221.8","3,472","368"
"Sayward","VL","334","311","7.4","182","178","2.2","166","152","9.2","4.44","75.2","3,404","357"
"Squirrel Cove 8","IRI","0","0","...","0","0","...","0","0","...","0.17","0.0","4,831","644"
"Strathcona A","RDA","864","764","13.1","474","440","7.7","391","354","10.5","7,111.01","0.1","2,289","283"
"Strathcona B","RDA","1,059","1,035","2.3","804","788","2.0","558","535","4.3","135.55","7.8","2,043","270"
"Strathcona C","RDA","2,737","2,431","12.6","1,663","1,519","9.5","1,332","1,169","13.9","9,229.03","0.3","1,120","170"
"Strathcona D (Oyster Bay - Buttle Lake) 5","RDA","4,153","3,977","4.4","1,853","1,880","-1.4","1,722","1,706","0.9","1,584.07","2.6","833","120"
"Tahsis","VL","393","248","58.5","398","400","-0.5","231","152","52.0","5.26","74.7","3,203","345"
"Tork 7","IRI","60","64","-6.3","42","38","10.5","33","30","10.0","2.63","22.8","4,454","508"
"Tsa Xana 18","IRI","205","187","9.6","62","61","1.6","60","59","1.7","1.83","112.0","3,852","411"
"Village Island 1","IRI","0","0","...","0","0","...","0","0","...","0.55","0.0","4,831","644"
"Yuquot 1","IRI","0","5","-100.0","0","2","-100.0","0","2","-100.0","0.81","0.0","4,831","644"
"Zeballos","VL","126","107","17.8","109","113","-3.5","71","58","22.4","1.55","81.4","4,144","443"
"Chekwelp 26","IRI","0","0","...","0","0","...","0","0","...","0.13","0.0","4,831","644"
"Gibsons","T","4,758","4,605","3.3","2,482","2,320","7.0","2,282","2,221","2.7","4.31","1,103.2","765","108"
"Sechelt","DM","10,847","10,216","6.2","5,738","5,378","6.7","5,128","4,855","5.6","39.02","278.0","403","61"
"Sechelt (Part) 5","IGD","744","676","10.1","360","342","5.3","324","294","10.2","10.79","68.9","2,449","294"
"Sunshine Coast A 5","RDA","3,039","2,619","16.0","2,508","2,327","7.8","1,562","1,379","13.3","1,898.02","1.6","1,037","158"
"Sunshine Coast B","RDA","2,969","2,726","8.9","1,859","1,753","6.0","1,370","1,247","9.9","1,269.45","2.3","1,054","162"
"Sunshine Coast D","RDA","3,523","3,421","3.0","1,796","1,776","1.1","1,550","1,508","2.8","143.36","24.6","931","141"
"Sunshine Coast E","RDA","3,883","3,664","6.0","1,763","1,650","6.8","1,608","1,549","3.8","21.60","179.7","880","136"
"Sunshine Coast F","RDA","2,407","2,043","17.8","1,476","1,833","-19.5","1,111","942","17.9","380.75","6.3","1,222","180"
"105 Mile Post 2","IRI","5","10","-50.0","5","4","25.0","4","4","0.0","13.65","0.4","4,760","610"
"Ashcroft","VL","1,670","1,558","7.2","876","801","9.4","793","755","5.0","50.86","32.8","1,556","225"
"Ashcroft 4","IRI","42","68","-38.2","27","29","-6.9","23","29","-20.7","1.40","30.0","4,540","535"
"Barriere","DM","1,765","1,713","3.0","848","816","3.9","760","787","-3.4","10.73","164.5","1,504","220"
"Basque 18 3","IRI","..","0","..","..","4","..","..","1","..","4.29","..","..",".."
"Bonaparte 3","IRI","159","121","31.4","56","50","12.0","53","44","20.5","7.06","22.5","4,009","425"
"Boothroyd 8A","IRI","0","0","...","0","0","...","0","0","...","0.03","0.0","4,831","644"
"Cache Creek","VL","969","963","0.6","522","497","5.0","471","468","0.6","10.40","93.2","2,144","277"
"Canoe Creek 1","IRI","56","60","-6.7","19","19","0.0","17","15","13.3","0.70","79.5","4,480","517"
"Canoe Creek 2","IRI","104","34","205.9","18","11","63.6","18","10","80.0","15.76","6.6","4,233","456"
"Chase","VL","2,399","2,286","4.9","1,249","1,169","6.8","1,175","1,089","7.9","3.75","639.3","1,225","181"
"Chuchhraischin","IRI","0","0","...","0","0","...","0","0","...","0.18","0.0","4,831","644"
"Clearwater","DM","2,388","2,324","2.8","1,145","1,074","6.6","1,057","1,021","3.5","55.65","42.9","1,232","183"
"Clinton","VL","568","641","-11.4","336","381","-11.8","291","327","-11.0","8.14","69.7","2,780","313"
"Coldwater 1","IRI","350","318","10.1","121","116","4.3","117","113","3.5","18.35","19.1","3,347","354"
"Douglas Lake 3","IRI","188","149","26.2","80","75","6.7","70","58","20.7","94.50","2.0","3,895","414"
"Entlqwekkinh 19 5","IRI","5","0","...","11","0","...","8","0","...","0.76","6.6","4,760","610"
"Halhalaeden","IRI","10","5","100.0","4","3","33.3","4","2","100.0","1.66","6.0","4,722","592"
"Hamilton Creek 2","IRI","0","0","...","0","0","...","0","0","...","0.81","0.0","4,831","644"
"High Bar 1","IRI","0","0","...","0","1","-100.0","0","1","-100.0","13.45","0.0","4,831","644"
"Inkluckcheen 5","IRI","190","156","21.8","58","59","-1.7","58","53","9.4","4.33","43.9","3,888","412"
"Inklyuhkinatko 2","IRI","26","30","-13.3","14","14","0.0","13","14","-7.1","0.69","37.7","4,622","558"
"Joeyaska 2","IRI","58","42","38.1","22","18","22.2","22","17","29.4","1.30","44.5","4,465","510"
"Kamloops","CY","97,902","90,280","8.4","41,619","39,081","6.5","39,914","36,814","8.4","297.93","328.6","61","12"
"Kamloops 1","IRI","3,915","3,021","29.6","1,789","1,518","17.9","1,707","1,382","23.5","136.73","28.6","872","133"
"Kanaka Bar 5","IRI","0","15","-100.0","1","5","-80.0","1","5","-80.0","1.16","0.0","4,831","644"
"Kitzowit 20","IRI","21","16","31.3","7","7","0.0","7","7","0.0","0.12","172.0","4,652","567"
"Klahkamich 17","IRI","33","32","3.1","15","18","-16.7","15","12","25.0","0.12","278.0","4,586","546"
"Kleetlekut 22","IRI","15","10","50.0","5","3","66.7","5","3","66.7","1.21","12.4","4,694","580"
"Klickkumcheen 18","IRI","82","80","2.5","27","32","-15.6","26","31","-16.1","0.23","360.9","4,337","484"
"Kloklowuck 7 3","IRI","..","5","..","..","4","..","..","4","..","0.81","..","..",".."
"Kumcheen 1 3","IRI","..","41","..","..","18","..","..","17","..","0.15","..","..",".."
"Logan Lake","DM","2,255","1,993","13.1","1,135","1,108","2.4","1,064","941","13.1","324.28","7.0","1,275","192"
"Louis Creek 4","IRI","15","10","50.0","8","8","0.0","8","8","0.0","0.03","465.8","4,694","580"
"Lower Hat Creek 2","IRI","61","25","144.0","21","18","16.7","18","14","28.6","8.38","7.3","4,451","507"
"Lytton","VL","210","249","-15.7","118","139","-15.1","104","121","-14.0","6.73","31.2","3,836","407"
"Lytton 4A","IRI","0","0","...","0","0","...","0","0","...","1.62","0.0","4,831","644"
"Lytton 4E","IRI","5","5","0.0","3","3","0.0","3","2","50.0","1.25","4.0","4,760","610"
"Lytton 9A","IRI","10","5","100.0","4","5","-20.0","3","2","50.0","1.52","6.6","4,722","592"
"Lytton 9B","IRI","0","0","...","1","1","0.0","1","1","0.0","0.73","0.0","4,831","644"
"Marble Canyon 3","IRI","97","84","15.5","38","33","15.2","37","31","19.4","2.84","34.1","4,267","463"
"Merritt","CY","7,051","7,139","-1.2","3,149","3,176","-0.9","2,975","2,983","-0.3","26.04","270.7","581","79"
"Nekalliston 2","IRI","0","0","...","0","1","-100.0","0","1","-100.0","0.02","0.0","4,831","644"
"Nekliptum 1 5","IRI","66","56","17.9","22","12","83.3","20","12","66.7","0.14","472.8","4,423","499"
"Neskonlith","IRI","279","237","17.7","99","79","25.3","99","75","32.0","24.73","11.3","3,586","377"
"Nickel Palm 4","IRI","5","5","0.0","5","6","-16.7","4","2","100.0","0.61","8.2","4,760","610"
"Nickeyeah 25","IRI","34","10","240.0","9","7","28.6","9","5","80.0","1.05","32.4","4,585","545"
"Nicola Lake 1","IRI","148","123","20.3","55","58","-5.2","48","48","0.0","11.32","13.1","4,067","436"
"Nicola Mameet 1","IRI","513","532","-3.6","213","209","1.9","195","197","-1.0","45.97","11.2","2,902","320"
"Nicomen 1","IRI","41","63","-34.9","21","20","5.0","18","20","-10.0","0.67","60.8","4,545","536"
"Nkaih 10","IRI","5","0","...","1","1","0.0","1","0","...","1.16","4.3","4,760","610"
"Nohomeen 23","IRI","5","5","0.0","4","1","300.0","4","1","300.0","0.15","33.6","4,760","610"
"Nooaitch 10","IRI","170","142","19.7","81","55","47.3","57","52","9.6","7.30","23.3","3,974","421"
"North Thompson 1","IRI","181","218","-17.0","97","97","0.0","80","88","-9.1","12.80","14.1","3,925","417"
"Nuuautin 2 5","IRI","101","124","-18.5","51","42","21.4","51","39","30.8","1.84","54.9","4,248","459"
"Oregon Jack Creek 5","IRI","0","0","...","0","0","...","0","0","...","4.35","0.0","4,831","644"
"Papyum 27","IRI","35","20","75.0","11","9","22.2","11","8","37.5","0.47","74.1","4,577","542"
"Paska Island 3","IRI","0","5","-100.0","0","1","-100.0","0","1","-100.0","0.55","0.0","4,831","644"
"Paul's Basin 2","IRI","35","25","40.0","10","11","-9.1","10","9","11.1","5.65","6.2","4,577","542"
"Pemynoos 9","IRI","0","0","...","0","0","...","0","0","...","19.00","0.0","4,831","644"
"Peq-Paq 22","IRI","0","0","...","0","0","...","0","0","...","1.93","0.0","4,831","644"
"Sahhaltkum 4","IRI","316","304","3.9","118","119","-0.8","117","106","10.4","13.41","23.6","3,455","366"
"Seah 5","IRI","10","10","0.0","5","6","-16.7","4","4","0.0","1.60","6.3","4,722","592"
"Shackan 11","IRI","50","64","-21.9","38","31","22.6","30","30","0.0","25.52","2.0","4,507","524"
"Shawniken 4B 3","IRI","..","16","..","..","9","..","..","7","..","0.04","..","..",".."
"Siska Flat","IRI","101","90","12.2","39","39","0.0","36","31","16.1","0.62","162.5","4,248","459"
"Skeetchestn","IRI","242","293","-17.4","125","125","0.0","125","117","6.8","79.92","3.0","3,715","390"
"Skuppah 2A","IRI","0","0","...","0","0","...","0","0","...","0.19","0.0","4,831","644"
"Skuppah 4","IRI","10","5","100.0","4","4","0.0","4","4","0.0","0.13","77.6","4,722","592"
"Skwayaynope 26","IRI","5","10","-50.0","2","2","0.0","2","2","0.0","0.98","5.1","4,760","610"
"Spences Bridge 3","IRI","..","5","..","..","5","..","..","3","..","0.23","..","..",".."
"Spintlum Flat 3","IRI","5","10","-50.0","2","2","0.0","2","2","0.0","1.78","2.8","4,760","610"
"Squaam 2 5","IRI","0","10","-100.0","0","31","-100.0","0","4","-100.0","0.31","0.0","4,831","644"
"Stequmwhulpa 5 5","IRI","26","10","160.0","8","8","0.0","8","5","60.0","0.99","26.2","4,622","558"
"Stryen 9","IRI","57","71","-19.7","23","22","4.5","23","18","27.8","2.53","22.6","4,474","514"
"Sun Peaks Mountain","VL","1,404","616","127.9","1,506","1,146","31.4","622","290","114.5","40.85","34.4","1,734","250"
"Thompson-Nicola A (Wells Gray Country)","RDA","1,573","1,493","5.4","813","826","-1.6","700","710","-1.4","7,085.66","0.2","1,620","238"
"Thompson-Nicola B (Thompson Headwaters)","RDA","230","233","-1.3","180","222","-18.9","115","122","-5.7","5,126.20","0.0","3,747","394"
"Thompson-Nicola E (Bonaparte Plateau)","RDA","1,162","1,094","6.2","1,183","1,352","-12.5","604","525","15.0","6,625.50","0.2","1,934","264"
"Thompson-Nicola I (Blue Sky Country) 5","RDA","1,038","1,262","-17.7","557","646","-13.8","443","561","-21.0","5,736.53","0.2","2,066","274"
"Thompson-Nicola J (Copper Desert Country)","RDA","1,796","1,580","13.7","868","998","-13.0","759","683","11.1","3,285.56","0.5","1,481","215"
"Thompson-Nicola L (Grasslands) 5","RDA","3,321","2,945","12.8","1,425","1,424","0.1","1,345","1,261","6.7","1,912.94","1.7","969","150"
"Thompson-Nicola M (Beautiful Nicola Valley - North)","RDA","1,637","1,598","2.4","863","1,049","-17.7","730","753","-3.1","3,845.30","0.4","1,576","231"
"Thompson-Nicola N (Beautiful Nicola Valley - South)","RDA","717","762","-5.9","385","439","-12.3","321","336","-4.5","2,341.58","0.3","2,491","296"
"Thompson-Nicola O (Lower North Thompson) 5","RDA","1,523","1,323","15.1","902","927","-2.7","667","596","11.9","5,381.16","0.3","1,652","240"
"Thompson-Nicola P (Rivers and the Peaks)","RDA","4,098","3,672","11.6","1,931","1,738","11.1","1,724","1,534","12.4","1,546.56","2.6","844","126"
"Tsaukan 12","IRI","0","0","...","1","1","0.0","1","0","...","0.56","0.0","4,831","644"
"Twoyqhalsht 16 5","IRI","0","0","...","0","0","...","0","0","...","0.11","0.0","4,831","644"
"Upper Hat Creek 1","IRI","15","25","-40.0","9","13","-30.8","8","13","-38.5","9.01","1.7","4,694","580"
"Upper Nepa 6","IRI","15","15","0.0","8","8","0.0","7","6","16.7","2.90","5.2","4,694","580"
"Whispering Pines 4","IRI","57","59","-3.4","20","18","11.1","20","18","11.1","5.03","11.3","4,474","514"
"Yawaucht 11","IRI","5","5","0.0","3","3","0.0","3","3","0.0","1.16","4.3","4,760","610"
"Zacht 5","IRI","5","5","0.0","3","3","0.0","3","2","50.0","0.25","19.9","4,760","610"
"Zoht 4","IRI","20","25","-20.0","14","14","0.0","13","14","-7.1","2.11","9.5","4,658","569"

Symbol legend:
.., not available for a specific reference period
..., not applicable
r, revised
E, use with caution


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



Footnotes:
1,"<p><strong>Content considerations</strong></p>  <p>The 2021 Census population counts for a particular geographic area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be non-permanent residents. For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.</p>  <p>The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.</p>  <p>Changes occur to the names, boundaries and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2021 Census, the geographic reference date was January 1, 2021.</p>  <p>Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2021 (the geographic reference date for the 2021 Census of Canada).</p>  <p><strong>Definitions</strong></p>  <p>The Census Dictionary is a reference document which contains detailed definitions of Census of Population concepts, universes, variables, and geographic terms, as well as historical information.</p> <p><strong>Incompletely enumerated reserves and settlements</strong></p><p>In 2021, a total of 63 census subdivisions defined as reserves and settlements were incompletely enumerated. For these reserves and settlements, dwelling enumeration was either not permitted or could not be completed because of the various reasons below.</p><p>This represents an increase compared with the 14 census subdivisions defined as reserves and settlements that were incompletely enumerated in the 2016 Census. Health and safety restrictions put in place to slow the spread of COVID-19 and natural events (including evacuations because of forest fires) contributed to the incomplete enumeration of many reserves and settlements.</p><p>The 2021 Census population and dwelling counts are not available for the 63 incompletely enumerated reserves and settlements, and are not included in 2021 Census tabulations. Data for geographic areas containing one or more of these reserves and settlements are noted accordingly. Because of the missing data, users are cautioned that—for the affected geographic areas—comparisons (e.g., percentage change) between 2016 and 2021 may not be precise. The impact of the missing data for higher-level geographic areas (Canada, provinces and territories, census metropolitan areas and census agglomerations) is usually very/ small. However, the impact can be significant for lower-level geographic areas (e.g., census divisions), where incompletely enumerated reserves and settlements account for a higher proportion of the population. This is especially true for lower-level geographic areas where a particular reserve or settlement was incompletely enumerated for the 2021 Census but enumerated for the 2016 Census and, vice versa.</p>  <p><strong>Adjustment of population counts</strong></p>  <p>Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment, some population counts of geographic areas are adjusted in order to ensure confidentiality.</p>  <p>Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. Dwelling counts are not adjusted.</p>  <p><strong>Difference between census counts and population estimates</strong></p>  <p>The Census of Population is designed to conduct a complete count of the population. Inevitably, however, some individuals will not be enumerated (undercoverage), while others, usually less numerous, will be enumerated more than once (overcoverage).</p>  <p>To determine the number of people who were missed or counted more than once, Statistics Canada conducts postcensal studies of the coverage of the census population, using representative samples of the population. Results of these studies are usually available two years after Census Day. They are used, in combination with census figures and other sources, to develop the population estimates produced by Statistics Canada on a regular basis. Population estimates are used for equalization payments, to follow trends in the Canadian population on a quarterly basis and to understand the underlying components of population change (for example, births, deaths, immigrants, emigrants and non-permanent residents). Population estimates differ from census counts and are usually higher, because census counts are not adjusted for undercoverage or overcoverage.</p>"
2,"Excludes census data for one or more incompletely enumerated reserves or settlements."
3,"Incompletely enumerated reserve or settlement."
4,"This geographic area underwent a formal review in 2016. The 2016 population and/or dwelling counts have been revised to account for coverage errors and/or the reallocation of population and dwelling counts for this area."
5,"This geographic area underwent a boundary change since the 2016 Census that resulted in an adjustment to the 2016 population and/or dwelling counts for this area."
6,"This geographic area underwent a formal review in 2016, resulting in a boundary correction and, possibly, the reallocation of the population and/or dwelling counts for this area."
7,"This geographic area underwent a formal review in 2016. The 2016 population and/or dwelling counts have been revised to account for a boundary correction as well as coverage adjustments and/or the reallocation of population and/or dwelling counts for this area."



"How to cite: Statistics Canada. Table 98-10-0002-02  Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202