Jurisdiction,Community,Type,Population
British Columbia,Hesquiat 1 3,IRI,NA
British Columbia,Refuge Cove 6 3,IRI,NA
British Columbia,Francois Lake 7 3,IRI,NA
British Columbia,Omineca 1 3,IRI,NA
British Columbia,Uncha Lake 13A 3,IRI,NA
British Columbia,Alexandria 3 5,IRI,NA
British Columbia,Canim Lake 1 3,IRI,NA
British Columbia,Canim Lake 2 3,IRI,NA
British Columbia,Chilco Lake 1 3,IRI,NA
British Columbia,Chilco Lake 1A 3,IRI,NA
British Columbia,Garden 3,IRI,NA
British Columbia,Lezbye 6 3,IRI,NA
British Columbia,Lohbiee 3 3,IRI,NA
British Columbia,Tanakut 4 3,IRI,NA
British Columbia,Salmon River 1 3,IRI,NA
British Columbia,Peters 1 3,IRI,NA
British Columbia,Barnston Island 3 3,IRI,NA
British Columbia,S1/2 Tsimpsean 2 3,IRI,NA
British Columbia,Basque 18 3,IRI,NA
British Columbia,Kloklowuck 7 3,IRI,NA
British Columbia,Kumcheen 1 3,IRI,NA
British Columbia,Shawniken 4B 3,IRI,NA
British Columbia,Spences Bridge 3,IRI,NA
British Columbia,Vancouver,CY,662248
British Columbia,Surrey,CY,568322
British Columbia,Burnaby,CY,249125
British Columbia,Richmond,CY,209937
British Columbia,Abbotsford,CY,153524
British Columbia,Coquitlam,CY,148625
British Columbia,Kelowna 5,CY,144576
British Columbia,Langley,DM,132603
British Columbia,Saanich,DM,117735
British Columbia,Delta,CY,108455
British Columbia,Nanaimo,CY,99863
British Columbia,Kamloops,CY,97902
British Columbia,Chilliwack,CY,93203
British Columbia,Victoria,CY,91867
British Columbia,Maple Ridge,CY,90990
British Columbia,North Vancouver 5,DM,88168
British Columbia,New Westminster,CY,78916
British Columbia,Prince George,CY,76708
British Columbia,Port Coquitlam,CY,61498
British Columbia,North Vancouver,CY,58120
British Columbia,Langford,CY,46584
British Columbia,Vernon 5,CY,44519
British Columbia,West Vancouver,DM,44122
British Columbia,Mission 5,DM,41519
British Columbia,Penticton,CY,36885
British Columbia,West Kelowna,CY,36078
British Columbia,Campbell River 5,CY,35519
British Columbia,Port Moody,CY,33535
British Columbia,North Cowichan 5,DM,31990
British Columbia,Langley,CY,28963
British Columbia,Courtenay 5,CY,28420
Yukon,Whitehorse,CY,28201
British Columbia,Squamish 5,DM,23819
British Columbia,White Rock,CY,21939
British Columbia,Fort St. John 5,CY,21465
British Columbia,Cranbrook,CY,20499
Northwest Territories,Yellowknife,CY,20340
British Columbia,Salmon Arm,CY,19432
British Columbia,Pitt Meadows,CY,19146
British Columbia,Colwood,CY,18961
British Columbia,Metro Vancouver A,RDA,18612
British Columbia,Port Alberni,CY,18259
British Columbia,Oak Bay,DM,17990
British Columbia,Esquimalt,DM,17533
British Columbia,Central Saanich,DM,17385
British Columbia,Lake Country,DM,15817
British Columbia,Sooke,DM,15086
British Columbia,Comox,T,14806
British Columbia,Whistler 4,DM,13982
British Columbia,Powell River,CY,13943
British Columbia,Parksville 5,CY,13642
British Columbia,Dawson Creek,CY,12323
British Columbia,Sidney,T,12318
British Columbia,Prince Rupert,CY,12300
British Columbia,North Saanich,DM,12235
British Columbia,Summerland,DM,12042
British Columbia,Terrace,CY,12017
British Columbia,Saltspring Island,RDA,11635
British Columbia,View Royal,T,11575
British Columbia,Coldstream,DM,11171
British Columbia,Nelson,CY,11106
British Columbia,Williams Lake,CY,10947
British Columbia,Sechelt,DM,10847
British Columbia,Quesnel,CY,9889
British Columbia,Qualicum Beach,T,9303
British Columbia,Comox Valley C (Puntledge - Black Creek) 5,RDA,9158
British Columbia,Tsinstikeptum 9,IRI,9134
British Columbia,Cowichan Valley B,RDA,8994
British Columbia,Ladysmith,T,8990
British Columbia,Columbia-Shuswap C,RDA,8919
British Columbia,Castlegar,CY,8338
British Columbia,Revelstoke 5,CY,8275
British Columbia,Kitimat,DM,8236
British Columbia,Nanaimo F,RDA,8216
British Columbia,Kimberley,CY,8115
British Columbia,Nanaimo G 5,RDA,8109
British Columbia,Comox Valley A,RDA,7926
British Columbia,Trail,CY,7920
British Columbia,Nanaimo A,RDA,7481
British Columbia,Comox Valley B (Lazo North),RDA,7392
British Columbia,Merritt,CY,7051
British Columbia,Nanaimo E,RDA,6765
British Columbia,Hope,DM,6686
British Columbia,East Kootenay C 5,RDA,6536
British Columbia,Fernie 7,CY,6320
British Columbia,Kent,DM,6300
British Columbia,Cariboo A 5,RDA,6169
British Columbia,Southern Gulf Islands,RDA,6101
British Columbia,Peace River C 5,RDA,5947
British Columbia,Peachland,DM,5789
British Columbia,Bulkley-Nechako A,RDA,5587
British Columbia,Creston 5,T,5583
British Columbia,Osoyoos 4,T,5556
British Columbia,Peace River B,RDA,5379
British Columbia,Smithers,T,5378
British Columbia,Armstrong,CY,5323
British Columbia,Cariboo G 5,RDA,5312
British Columbia,Spallumcheen,DM,5307
British Columbia,Juan de Fuca (Part 1) 5,RDA,5132
British Columbia,Oliver,T,5094
British Columbia,Metchosin,DM,5067
British Columbia,Duncan,CY,5047
British Columbia,Cowichan Valley C,RDA,5046
British Columbia,Central Kootenay H 4,RDA,5045
British Columbia,Cowichan Valley A,RDA,4949
British Columbia,Central Kootenay B,RDA,4802
British Columbia,Peace River D,RDA,4793
British Columbia,Cariboo F,RDA,4792
British Columbia,Cariboo L,RDA,4769
British Columbia,Gibsons,T,4758
British Columbia,North Okanagan C 5,RDA,4511
British Columbia,Nanaimo B,RDA,4500
British Columbia,Cumberland,VL,4447
British Columbia,Columbia-Shuswap D,RDA,4400
British Columbia,Fraser-Fort George D,RDA,4375
British Columbia,North Okanagan F,RDA,4362
British Columbia,Vanderhoof 5,DM,4346
British Columbia,Nanaimo H,RDA,4291
British Columbia,Central Okanagan 5,RDA,4258
British Columbia,Bowen Island,IM,4256
British Columbia,Cowichan Valley E,RDA,4253
British Columbia,Strathcona D (Oyster Bay - Buttle Lake) 5,RDA,4153
British Columbia,Sparwood,DM,4148
British Columbia,Rossland,CY,4140
British Columbia,Central Kootenay F,RDA,4116
British Columbia,Cariboo E,RDA,4112
British Columbia,Grand Forks,CY,4112
British Columbia,Thompson-Nicola P (Rivers and the Peaks),RDA,4098
British Columbia,Okanagan-Similkameen D 5,RDA,4016
British Columbia,Golden,T,3986
British Columbia,Okanagan-Similkameen C,RDA,3986
British Columbia,Northern Rockies 5,RGM,3947
British Columbia,Kitimat-Stikine E,RDA,3932
British Columbia,Invermere,DM,3917
British Columbia,Kamloops 1,IRI,3915
British Columbia,Port Hardy 5,DM,3902
British Columbia,Central Kootenay E,RDA,3897
British Columbia,Sunshine Coast E,RDA,3883
British Columbia,Cariboo B,RDA,3864
British Columbia,Lantzville,DM,3817
British Columbia,Fraser-Fort George C,RDA,3603
British Columbia,Cowichan Valley D,RDA,3530
British Columbia,Sunshine Coast D,RDA,3523
British Columbia,East Kootenay F,RDA,3521
British Columbia,Bulkley-Nechako F,RDA,3517
British Columbia,Central Kootenay J,RDA,3517
British Columbia,Fraser-Fort George A,RDA,3471
British Columbia,Pemberton,VL,3407
British Columbia,Nanaimo C,RDA,3344
British Columbia,Columbia-Shuswap A,RDA,3325
British Columbia,Lake Cowichan,T,3325
British Columbia,Thompson-Nicola L (Grasslands) 5,RDA,3321
British Columbia,Mackenzie,DM,3281
British Columbia,North Okanagan B,RDA,3274
British Columbia,Okanagan (Part) 1 5,IRI,3244
British Columbia,Kootenay Boundary D / Rural Grand Forks,RDA,3226
British Columbia,Columbia-Shuswap F,RDA,3200
Northwest Territories,Hay River,T,3169
Northwest Territories,Inuvik,T,3137
British Columbia,Tzeachten 13,IRI,3089
British Columbia,Houston,DM,3052
British Columbia,Sunshine Coast A 5,RDA,3039
British Columbia,Enderby,CY,3028
British Columbia,Kootenay Boundary E / West Boundary,RDA,3004
British Columbia,Kitimat-Stikine C (Part 1),RDA,2978
British Columbia,Sunshine Coast B,RDA,2969
British Columbia,Alberni-Clayoquot E,RDA,2946
British Columbia,North Okanagan D,RDA,2909
British Columbia,Capilano 5,IRI,2899
British Columbia,Central Okanagan West 5,RDA,2897
British Columbia,Princeton,T,2894
British Columbia,Cariboo D,RDA,2870
British Columbia,Elkford,DM,2749
British Columbia,Strathcona C,RDA,2737
British Columbia,Peace River E,RDA,2660
British Columbia,Sicamous,DM,2613
British Columbia,Central Kootenay I,RDA,2607
British Columbia,Cowichan Valley H,RDA,2603
British Columbia,Tofino 4,DM,2516
British Columbia,Highlands,DM,2482
British Columbia,Fraser Valley H,RDA,2459
British Columbia,Cowichan Valley G 5,RDA,2442
British Columbia,Cowichan 5,IRI,2420
British Columbia,Sunshine Coast F,RDA,2407
British Columbia,Tumbler Ridge,DM,2399
British Columbia,Chase,VL,2399
British Columbia,Clearwater,DM,2388
British Columbia,Burrard Inlet 3 5,IRI,2373
British Columbia,Anmore,VL,2356
British Columbia,Port McNeill,T,2356
British Columbia,Okanagan-Similkameen I 5,RDA,2307
British Columbia,Chetwynd,DM,2302
British Columbia,Lillooet,DM,2302
British Columbia,Okanagan-Similkameen G 5,RDA,2298
British Columbia,Tsawwassen,TWL,2256
British Columbia,Logan Lake,DM,2255
Northwest Territories,Fort Smith,T,2248
British Columbia,Central Kootenay A,RDA,2241
British Columbia,Okanagan-Similkameen H 5,RDA,2232
British Columbia,qathet C,RDA,2197
British Columbia,Okanagan-Similkameen A,RDA,2139
British Columbia,Fraser Valley D,RDA,2092
British Columbia,Okanagan-Similkameen F,RDA,2092
British Columbia,Penticton 1,IRI,2080
British Columbia,Ucluelet,DM,2066
British Columbia,Lumby,VL,2063
British Columbia,Okanagan-Similkameen E,RDA,2015
British Columbia,East Kootenay B,RDA,2011
British Columbia,Squamish-Lillooet C,RDA,2000
British Columbia,Alberni-Clayoquot F,RDA,1977
British Columbia,Fruitvale,VL,1958
British Columbia,One Hundred Mile House 4,DM,1928
British Columbia,Harrison Hot Springs,VL,1905
British Columbia,Cariboo H,RDA,1884
British Columbia,East Kootenay A 6,RDA,1875
British Columbia,Duck Lake 7,IRI,1847
British Columbia,Alberni-Clayoquot D,RDA,1843
British Columbia,New Songhees 1A,IRI,1839
British Columbia,Cowichan Valley F,RDA,1804
British Columbia,Thompson-Nicola J (Copper Desert Country),RDA,1796
British Columbia,Nisga'a,NL,1794
British Columbia,East Saanich 2,IRI,1790
British Columbia,Central Kootenay K,RDA,1784
British Columbia,Tsinstikeptum 10,IRI,1766
British Columbia,Barriere,DM,1765
British Columbia,Warfield,VL,1753
Northwest Territories,Behchokò,CG,1746
British Columbia,Bulkley-Nechako B 5,RDA,1706
British Columbia,Fraser Valley G,RDA,1692
British Columbia,East Kootenay E,RDA,1686
British Columbia,Ashcroft,VL,1670
British Columbia,qathet B,RDA,1664
British Columbia,Burns Lake,VL,1659
British Columbia,East Kootenay G 5,RDA,1654
British Columbia,Central Kootenay G,RDA,1650
British Columbia,Musqueam 2,IRI,1646
British Columbia,Thompson-Nicola M (Beautiful Nicola Valley - North),RDA,1637
British Columbia,Kootenay Boundary C / Christina Lake,RDA,1627
British Columbia,Kootenay Boundary A,RDA,1624
British Columbia,Keremeos,VL,1608
British Columbia,Bulkley-Nechako D,RDA,1607
British Columbia,Nakusp,VL,1589
British Columbia,Fraser-Fort George H,RDA,1589
Yukon,Dawson,T,1577
British Columbia,Thompson-Nicola A (Wells Gray Country),RDA,1573
British Columbia,Fraser Valley E,RDA,1568
Yukon,Macpherson-Grizzly Valley,NO,1540
British Columbia,Thompson-Nicola O (Lower North Thompson) 5,RDA,1523
British Columbia,Bulkley-Nechako E,RDA,1512
Yukon,"Yukon, Unorganized 3",NO,1496
British Columbia,Cariboo I 5,RDA,1485
British Columbia,Central Kootenay C 5,RDA,1475
British Columbia,Telkwa,VL,1474
British Columbia,Central Kootenay D,RDA,1462
British Columbia,Kitimat-Stikine B,RDA,1455
British Columbia,Osoyoos 1,IRI,1426
British Columbia,Cowichan Valley I,RDA,1423
British Columbia,Kootenay Boundary B / Lower Columbia-Old-Glory,RDA,1422
British Columbia,Sun Peaks Mountain,VL,1404
British Columbia,Lions Bay,VL,1390
British Columbia,Columbia-Shuswap E,RDA,1388
British Columbia,Fort St. James,DM,1386
British Columbia,Fraser Valley F,RDA,1384
British Columbia,Radium Hot Springs,VL,1339
British Columbia,Taylor,DM,1317
British Columbia,Bulkley-Nechako C 5,RDA,1266
British Columbia,qathet A,RDA,1250
British Columbia,Fraser-Fort George F,RDA,1249
British Columbia,Gold River,VL,1246
British Columbia,Mount Currie,IRI,1242
British Columbia,Cariboo C,RDA,1239
British Columbia,Bella Bella 1,IRI,1193
British Columbia,Thompson-Nicola E (Bonaparte Plateau),RDA,1162
British Columbia,Okanagan-Similkameen B,RDA,1151
British Columbia,Salmo,VL,1140
Yukon,Watson Lake 3,T,1133
British Columbia,Fraser Valley C,RDA,1133
British Columbia,qathet D,RDA,1126
Northwest Territories,Fort Simpson,VL,1100
British Columbia,North Okanagan E,RDA,1092
British Columbia,Strathcona B,RDA,1059
British Columbia,Squamish-Lillooet D,RDA,1057
British Columbia,Valemount,VL,1052
British Columbia,Kaslo,VL,1049
British Columbia,Thompson-Nicola I (Blue Sky Country) 5,RDA,1038
British Columbia,Montrose,VL,1013
British Columbia,Skowkale,IRI,983
British Columbia,Cache Creek,VL,969
British Columbia,Fraser Lake,VL,965
British Columbia,Queen Charlotte 4,VL,964
Northwest Territories,Tuktoyaktuk,HAM,937
British Columbia,Bella Coola 1,IRI,937
British Columbia,Alberni-Clayoquot C,RDA,875
British Columbia,Fraser Valley B 5,RDA,869
British Columbia,Strathcona A,RDA,864
British Columbia,Hudson's Hope,DM,841
British Columbia,Masset,VL,838
British Columbia,Bulkley-Nechako G,RDA,836
British Columbia,Chemainus 13,IRI,818
British Columbia,Canal Flats,VL,802
British Columbia,Seabird Island,IRI,800
British Columbia,Sliammon 1,TAL,797
British Columbia,Mount Waddington C,RDA,764
British Columbia,Pouce Coupe,VL,762
British Columbia,Marktosis 15,IRI,760
Yukon,Marsh Lake,NO,746
British Columbia,Sechelt (Part) 5,IGD,744
British Columbia,Port Alice,VL,739
British Columbia,Thompson-Nicola N (Beautiful Nicola Valley - South),RDA,717
British Columbia,South Saanich 1,IRI,712
British Columbia,Greenwood,CY,702
British Columbia,Skidegate 1,IRI,697
British Columbia,Mount Waddington A 5,RDA,695
Yukon,Haines Junction,VL,688
British Columbia,Belcarra,VL,687
Northwest Territories,Norman Wells,T,673
British Columbia,Columbia-Shuswap B 5,RDA,663
British Columbia,Central Coast C,RDA,661
British Columbia,Midway,VL,651
Northwest Territories,Fort McPherson,HAM,647
British Columbia,Lax Kw'alaams 1,IRI,627
Northwest Territories,Fort Providence,HAM,618
British Columbia,Cariboo J,RDA,616
British Columbia,New Hazelton,DM,602
British Columbia,Tsahaheh 1,IRI,596
Yukon,Carmacks,VL,588
British Columbia,McBride,VL,588
British Columbia,North Coast D 5,RDA,580
British Columbia,Kispiox 1,IRI,578
Northwest Territories,Déline,CC,573
British Columbia,Mission 1,IRI,570
British Columbia,Clinton,VL,568
British Columbia,Gitanmaax 1,IRI,560
British Columbia,Woyenne 27,IRI,548
Northwest Territories,Whatì,CG,543
Northwest Territories,Aklavik,HAM,536
British Columbia,Fraser-Fort George E,RDA,533
British Columbia,Alberni-Clayoquot B,RDA,531
British Columbia,Nak'azdli,IRI,528
Yukon,Ibex Valley,HAM,523
British Columbia,Stewart,DM,517
British Columbia,Penelakut Island 7,IRI,513
British Columbia,Nicola Mameet 1,IRI,513
Northwest Territories,Fort Good Hope,CC,507
British Columbia,Kitamaat 2,IRI,507
British Columbia,Campbell River 11,IRI,506
British Columbia,Chehalis 5,IRI,500
British Columbia,qathet E,RDA,498
British Columbia,Fraser Valley A,RDA,495
British Columbia,New Denver,VL,487
British Columbia,Iskut 6,IRI,478
British Columbia,Masset 1,IRI,475
British Columbia,Port Edward,DM,470
Yukon,Mt. Lorne,HAM,468
Northwest Territories,Fort Liard,HAM,468
British Columbia,Matsqui 4,IRI,456
British Columbia,Tsulquate 4,IRI,451
British Columbia,Gitwangak 1,IRI,450
British Columbia,Alert Bay 4,VL,449
British Columbia,Cariboo K,RDA,447
British Columbia,Gitsegukla 1,IRI,444
Yukon,Faro,T,440
British Columbia,Enderby 2,IRI,440
British Columbia,Anahim's Flat 1,IRI,437
British Columbia,Stikine Region 5,RDA,424
British Columbia,Fort Nelson 2 5,IRI,419
Northwest Territories,Fort Resolution,HAM,412
Yukon,"Whitehorse, Unorganized",NO,411
Northwest Territories,Ulukhaktok,HAM,408
British Columbia,Gitanyow 1,IRI,408
British Columbia,Central Coast D,RDA,403
British Columbia,Tache 1,IRI,400
British Columbia,Juan de Fuca (Part 2) 5,RDA,399
Northwest Territories,Tulita,HAM,396
British Columbia,Tahsis,VL,393
British Columbia,Nanaimo Town 1,IRI,386
