Region,Jurisdiction,Species,Run,Year,Subsistence,Commercial,CommercialRelated,PersonalUse_Domestic,TestFishery,Sport_PublicAngling,Source,Link,Notes
Kuskokwim,Alaska,Chinook,NA,1994,"102,817","16,211",0,0,"1,850","1,139",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,1995,"101,921","30,846",0,0,"1,001",541,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,1996,"96,477","7,419",0,0,247,"1,432",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,1997,"79,334","10,441",0,0,332,"1,227",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,1998,"80,969","17,359",0,0,210,"1,434",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,1999,"73,538","4,705",0,0,98,252,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2000,"67,596",444,0,0,60,105,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2001,"78,174",90,0,0,0,290,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2002,"81,169",72,0,0,0,319,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2003,"67,737",158,0,0,0,401,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2004,"96,788","2,305",0,0,19,857,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2005,"85,863","4,784",0,0,2,572,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2006,"90,812","2,777",0,0,0,444,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2007,"94,898",179,0,0,0,"1,478",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2008,"88,912","8,865",0,0,0,708,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2009,"79,896","6,664",0,0,0,904,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2010,"67,286","2,731",0,0,0,354,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2011,"62,366",49,0,0,0,579,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2012,"22,544",14,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2013,"47,113",1,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2014,"11,234",0,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2015,"16,124",2,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chinook,NA,2016,"30,693",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2017,"16,380",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2018,"22,264",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2019,"37,940",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2020,"35,847",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2021,"28,365",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chinook,NA,2022,"34,134",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,1991,"87,237","431,802",0,0,"1,014",378,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1992,"115,748","344,603",0,0,"12,409",608,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1993,"60,050","43,337",0,0,"8,365",359,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1994,"76,588","271,115",0,0,"11,637","1,280",Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1995,"71,146","605,918",0,0,"16,241",226,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1996,"100,786","207,877",0,0,"2,864",280,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1997,"37,770","17,026",0,0,790,86,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1998,"61,840","207,809",0,0,"1,140",291,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,1999,"45,251","23,006",0,0,363,180,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2000,"56,480","11,570",0,0,"1,033",26,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2001,"56,191","1,272",0,0,19,112,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2002,"86,163","1,900",0,0,7,53,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2003,"42,082","2,764",0,0,0,53,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2004,"64,140","20,150",0,0,113,84,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2005,"58,555","69,139",0,0,96,500,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2006,"89,674","44,070",0,0,0,13,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2007,"73,560","10,763",0,0,53,391,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2008,"63,789","30,516",0,0,0,121,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2009,"44,324","76,790",0,0,0,285,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2010,"45,089","93,148",0,0,0,85,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2011,"54,316","118,256",0,0,0,83,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2012,"79,631","65,171",0,0,93,80,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2013,"53,627","52,236",0,0,0,31,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2014,"68,398","19,080",0,0,0,36,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2015,"40,872",507,0,0,0,102,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,
Kuskokwim,Alaska,Chum,NA,2016,"44,858",NA,0,0,0,72,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2017,"52,589",NA,0,0,0,29,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2018,"45,918",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2019,"34,568",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2020,"26,920",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2021,"9,621",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Kuskokwim,Alaska,Chum,NA,2022,"10,864",NA,0,0,0,0,Smith and Gray 2022,https://www.adfg.alaska.gov/FedAidPDFs/FMR22-26.pdf,Commercial harvest information confidential because there was only 1 permit holder. 
Bristol Bay,Alaska,Chinook,NA,1991,"15,245","30,440",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1992,"16,425","68,767",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1993,"20,527","85,565",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1994,"18,873","140,905",0,0,0,"17,544",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1995,"15,921","99,318",0,0,0,"11,544",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1996,"18,072","86,376",0,0,0,"11,077",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1997,"19,074","76,593",0,0,0,"11,253",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1998,"15,621","134,751",0,0,0,"12,928",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,1999,"13,009","26,457",0,0,0,"9,031",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2000,"11,547","22,894",0,0,0,"9,903",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2001,"14,412","24,348",0,0,0,"10,427",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2002,"12,936","44,749",0,0,0,"6,823",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2003,"21,231","47,940",0,0,0,"9,941",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2004,"18,012","114,280",0,0,0,"13,195",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2005,"15,212","77,131",0,0,0,"13,076",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2006,"12,617","106,958",0,0,0,"12,838",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2007,"15,444","63,121",0,0,0,"13,821",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2008,"15,153","25,006",0,0,0,"9,969",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2009,"14,020","31,372",0,0,0,"9,671",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2010,"10,852","32,933",0,0,0,"6,224",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2011,"14,106","36,478",0,0,0,"10,412",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2012,"12,136","19,364",0,0,0,"10,009",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2013,"12,858","14,411",0,0,0,"9,929",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2014,"17,417","15,762",0,0,0,"10,745",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2015,"13,874","57,243",0,0,0,"9,578",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2016,"18,712","32,990",0,0,0,"11,873",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2017,"12,985","41,399",0,0,0,"9,844",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2018,"13,758","44,720",0,0,0,"12,806",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2019,"11,488","33,226",0,0,0,"9,866",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2020,"9,369","10,006",0,0,0,"3,138",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2021,"5,685","6,944",0,0,0,"5,873",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Chinook,NA,2022,NA,"7,733",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1991,"137,837","25,821,180",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1992,"133,605","31,879,676",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1993,"134,050","40,462,292",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1994,"120,782","35,224,046",0,0,0,"19,758",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1995,"107,717","44,266,234",0,0,0,"19,973",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1996,"107,737","29,591,658",0,0,0,"12,083",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1997,"118,250","12,158,777",0,0,0,"15,541",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1998,"113,289","10,035,582",0,0,0,"23,002",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,1999,"122,281","25,657,889",0,0,0,"19,048",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2000,"92,050","20,457,452",0,0,0,"18,975",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2001,"92,041","14,178,605",0,0,0,"11,887",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2002,"81,088","10,675,713",0,0,0,"8,444",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2003,"95,690","14,760,913",0,0,0,"10,154",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2004,"93,819","24,604,808",0,0,0,"12,071",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2005,"98,511","24,522,179",0,0,0,"11,925",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2006,"95,201","28,493,355",0,0,0,"17,658",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2007,"99,549","29,765,726",0,0,0,"14,835",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2008,"103,583","27,674,223",0,0,0,"18,593",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2009,"98,951","30,887,279",0,0,0,"17,874",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2010,"90,444","29,052,737",0,0,0,"14,725",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2011,"101,017","22,101,356",0,0,0,"14,068",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2012,"100,728","20,919,883",0,0,0,"14,341",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2013,"98,765","15,431,513",0,0,0,"13,539",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2014,"99,008","29,123,077",0,0,0,"14,866",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2015,"99,535","36,719,279",0,0,0,"18,837",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2016,"85,989","37,591,769",0,0,0,"15,535",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2017,"89,704","38,781,525",0,0,0,"23,500",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2018,"78,666","41,937,196",0,0,0,"19,696",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2019,"75,320","43,023,030",0,0,0,"19,052",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2020,"78,679","39,579,846",0,0,0,"16,418",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2021,"78,779","41,970,988",0,0,0,"33,052",Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,
Bristol Bay,Alaska,Sockeye,NA,2022,NA,"60,531,448",0,0,0,NA,Tiernan et al. 2023,https://www.adfg.alaska.gov/FedAidPDFs/FMR23-08.pdf,