Year,TotalYukonChinook,CanadianYukonChinook,NushagakChinook,KuskokwimChinook,YukonSummerChum,YukonFallChum,KuskokwimChumIndex_CPUE,TotalBBSockeye,KvichakRiverSockeye,AlagnakRiverSockeye,NaknekRiverSockeye,EgegikRiverSockeye,UgashikRiverSockeye,WoodRiverSockeye,IgushikRiverSockeye,TogiakRiverSockeye,NushagakRiverSockeye
1991,350692,124382,327748,216118,2649400,1027796,1262,43832743,8613127,1684655,9754425,9235470,5959036,4506271,1645838,804954,1628967
1992,318497,154219,296559,261317,2809600,556852,3058,47838588,10628640,1461639,5222907,17890993,6341239,3071690,470348,862258,1888874
1993,435592,131528,359331,273777,1852500,462735,2587,55303687,8064871,2451735,5577185,24250548,6216698,4748132,717075,697394,2580049
1994,466404,172885,409217,399365,3798300,1114772,4797,52225376,21592337,2062023,3700808,12738312,5569971,3696594,906828,522040,1436463
1995,466765,168502,292143,372332,4280000,1614534,3987,63058796,28426663,2198778,3440142,15374930,5912958,4938613,1184425,771292,810995
1996,334812,182564,238232,341902,4404800,1140415,8255,38419131,4474670,2383542,4662461,12416197,5370653,5959844,942696,585899,1623169
1997,459496,161700,247707,262761,1647700,705179,1959,20727918,2392218,814336,1910810,7932123,2508751,3879034,208759,264240,817647
1998,232629,88282,395933,255174,1007900,350457,2332,20095353,3811021,1185591,2365116,4689597,1892275,4421018,426034,313141,991560
1999,309757,110446,238709,160752,1139400,416480,548,41917968,13203152,3028937,4701484,6481074,5223881,7403081,859318,565234,451807
2000,124883,52842,181861,122487,550480,250242,2594,30190731,3569959,2189170,3967486,8168699,2300098,6541118,982740,1126843,1344618
2001,254274,85663,284930,192752,539650,372385,3395,22818099,1940225,1186913,5991185,3566444,1467575,4644099,818733,1109140,2093785
2002,241555,81487,297152,238306,1268700,426469,6796,17853625,897874,941301,2813598,5544322,2499049,3859722,199684,406290,691785
2003,378042,149979,312388,231909,1260700,792375,4815,26811818,2001790,4157797,4861853,3217356,2540240,6233372,492184,897566,2409660
2004,297458,117247,445076,365032,1463000,652616,5257,44798047,8091208,7525884,4066682,11642565,4202791,6430417,268354,507677,2062469
2005,299202,123612,448651,327044,2761800,2188488,18192,40286897,2867679,5224716,8765371,9402204,3090002,5881534,801087,581328,3672976
2006,283731,119485,278173,323372,4020100,1213273,13926,43799349,5715390,3342879,5342241,8613842,3779176,12640215,727744,906036,2731826
2007,229953,87899,154199,248471,2156600,1161101,10654,46275305,5917492,4771233,8438492,7395032,7399703,7794243,1022675,1066972,2469463
2008,186611,62610,175080,214922,2066900,857819,6746,42086724,6030620,4704660,9127188,7825252,2929895,6802770,1888898,868540,1908901
2009,226994,87221,156686,194718,1703200,591077,8254,41557671,6961784,2369160,4912920,12269671,3851254,6673679,1585348,856109,2077746
2010,154646,59741,122884,116026,1667900,585791,7651,41230967,10779329,2815554,5436898,5145650,4988743,8809667,1407871,641004,1206251
2011,186894,71726,203822,115858,2406500,1244141,10028,31796715,7228364,2249302,5520113,4604185,4203387,4949206,1015858,858557,1167743
2012,132272,48494,334369,75242,2480000,1089200,6893,31731647,12263919,2226527,3321536,5923046,2920818,2698060,507046,832938,1037757
2013,98156,37177,196811,88498,3349600,1215809,5708,25667351,6324295,1929767,3074128,5124466,2633700,3286043,692485,592763,2009704
2014,174331,64886,155593,82133,2466600,956669,6343,41418699,17600068,1620274,5320300,5078503,1154017,7166061,1436176,533288,1510012
2015,199192,87323,161297,125767,1977500,828453,2943,59863218,23104927,8244526,6090738,8508004,4249070,5019839,1643379,526750,2475985
2016,183722,82765,219916,130678,2580700,1390329,3894,52803796,14195449,4938142,5037024,9891849,7192818,6384575,1850334,737938,2575667
2017,236990,93188,126880,131643,3634400,2315883,6785,58161522,7250329,4430315,5975665,12441095,6672738,11287414,1230312,674286,8199368
2018,175056,76356,190995,135711,2074200,1114684,8203,63704608,7466680,2873550,6926060,6104312,4770223,22680173,1920088,1361343,9602179
2019,206343,72620,118184,226224,1686400,802964,6427,56947951,7936269,1855136,8824530,15434052,3604963,12340740,1358927,1286738,4306596
2020,139754,45501,73571,124540,763280,184233,1442,58669949,9866665,4561208,10102212,15597219,5078614,8004915,1212549,621050,3625517
2021,103228,32970,110194,128802,155630,95251,327,71151750,8885858,6069546,7095632,7725547,10657142,12667858,2022716,956709,15070742
2022,49459,13144,59738,143622,478130,242465,2183,83281914,13692832,4660507,6475045,18220032,7560060,12454475,2995798,828196,16394969
2023,NA,NA,NA,130837,NA,NA,4304,54485107,NA,NA,NA,NA,NA,NA,NA,NA,NA